      LinCoeff:.   AA1:        AA2:        B12:        RZ1:       RZ2:
 FNC: ======================================================================
  1   .6466D-01   .1056D+00   .2240D+00  -.8295D-02  -.3344D+00  -.5314D+00
  2   .1513D+00   .3415D+00   .1893D+00  -.9875D-03   .4527D+00  -.6590D+00
  3  -.5377D-01   .3030D+00   .1682D+00   .8346D-01  -.4231D+00   .4332D+00
  4   .3998D-01   .1158D+01   .1645D+00  -.1171D-01   .4224D+00   .7127D+00
  5   .7573D-01   .9297D-01   .6629D+00  -.1971D-02  -.2322D+00   .5682D+00
  6   .1091D+00   .5117D+00   .2573D+00  -.1953D-01   .5405D+00   .4617D+00
  7  -.5211D-01   .7126D+00   .3237D+00   .2327D+00  -.5565D+00  -.1378D+00
  8   .2269D-01   .4923D+01   .3750D+00  -.1628D-01   .6880D+00  -.5613D+00
  9   .1233D+00   .3939D+00   .7705D+00  -.1309D-01   .6059D+00  -.4855D+00
 10   .4401D-01   .8011D+00   .1933D+01  -.1649D-01  -.6184D+00   .6801D+00
 11  -.1214D-01   .1599D+01   .5769D+00   .7313D+00  -.5730D+00  -.1742D+00
 12   .4806D-04   .6514D+00   .7995D+03  -.3168D-01  -.1789D+00   .6999D+00
 13   .1616D-01   .1008D+00   .4096D+01  -.3827D-03   .1694D+00  -.6750D+00
 14   .8267D-02   .1818D+00   .1144D+02  -.2017D-01  -.3605D+00  -.6865D+00
 15   .6007D-01   .5284D+00   .1132D+01  -.1587D-01  -.4869D+00  -.6341D+00
 16  -.2832D-02   .5711D+00   .6980D+00   .3459D+01  -.7249D+00  -.1865D+00
 17   .7239D-02   .5259D+01   .2074D+01  -.4516D-01   .6822D+00  -.6410D+00
 18   .6457D-01   .1618D+01   .1865D+00  -.2268D-02  -.6606D+00   .5704D+00
 19   .2005D-01   .3178D+01   .3182D+00  -.3820D-01  -.6436D+00  -.6647D+00
 20   .3729D-02   .7862D+00   .9783D+01  -.1335D+00  -.6484D+00  -.6739D+00
 21  -.4941D-02   .2682D+00   .3184D+00   .1279D+01  -.1031D+01   .3107D+00
 22   .4898D-02   .8161D+00   .1411D+02  -.1755D-01  -.6362D+00   .6961D+00
 23  -.2305D-04  -.2437D+00   .2586D+01   .2177D+03  -.3413D+00   .4315D+00
 24   .3272D-02   .3865D+00   .3547D+02  -.7283D-01  -.7052D-01   .6966D+00
 25   .3993D-03   .9454D+02   .1156D+01   .4575D-01  -.6971D+00   .7657D+00
 26   .9146D-02   .3192D+01   .1349D+01  -.1247D+00   .6644D+00   .6041D+00
 27   .2883D-03   .1389D+01   .8236D+02  -.3467D+00   .6812D+00   .7018D+00
 28   .6213D-03   .2679D+02   .3580D+01  -.2914D-01   .6964D+00  -.6772D+00
 29  -.2749D-03   .1622D+01   .3704D+00   .2398D+02   .7834D+00  -.7890D+00
 30   .8635D-02   .8786D+00   .1660D+01  -.8309D-01  -.6324D+00  -.8299D-01
 31   .5142D-02   .2912D+00   .2818D+01  -.4391D-01   .3897D+00  -.2882D+00
 32  -.7153D-04  -.3452D+00   .1183D+01   .7089D+02  -.9452D+00   .1015D-01
 33   .8095D-03   .1491D+02   .3821D+01  -.5528D+00  -.6899D+00  -.6614D+00
 34  -.5674D-03   .8396D+00   .3027D+01   .7174D+01  -.1134D+01  -.3435D+00
 35   .3356D-03   .2147D+03   .4949D+00  -.1531D+00  -.6995D+00  -.5187D-01
 36  -.2498D-04   .1419D+02   .1872D+00   .5398D+02   .6512D+00  -.5150D+00
 37   .2655D-04   .8363D+01   .2571D+03   .9179D-01   .7108D+00  -.6934D+00
 38   .1599D-03   .7012D+02   .9340D-01   .1179D+00   .6840D+00   .2948D+01
 39   .4877D-03   .3044D+01   .4058D+01  -.8371D-01   .2521D+00   .8378D+00
 40  -.1505D-05   .1172D+01  -.3282D-04   .2043D+04  -.4656D+00  -.4831D+00
 41  -.4122D-03  -.4137D-01   .6299D+00   .1146D+02   .1524D+01  -.2330D+00
 42   .1690D-01   .3210D+00   .7467D+00   .9962D-02  -.5932D+00   .1105D+01
 43   .1836D-02   .4494D-01   .2614D+01   .4318D-01  -.1961D+01  -.3134D+00
 44  -.1874D-03   .4245D+01   .2134D+00   .3968D+01   .1015D+01  -.1217D+01
 45   .6396D-02   .3724D+00   .3461D-01   .1121D-01   .1782D-01  -.2620D+01
 46   .1150D-04   .6387D+04  -.3051D+00   .7063D+00  -.7006D+00  -.2012D+01
 47   .1011D-02   .4236D-01   .4035D+02   .4247D-01  -.8523D+00   .6974D+00
 48   .4160D-04   .2269D+00   .1811D+02   .1993D+00   .1547D+01   .2194D+00
 49   .7622D-07  -.2932D-01   .4294D+03   .5362D+01   .5835D+00  -.9032D+00
 50  -.5463D-02   .1578D+00   .2596D+00   .3349D+00   .9001D+00   .4396D+00
 51   .2025D-04   .2290D+04   .1217D+00   .4485D-01  -.7008D+00   .1312D+00
 52   .1150D-02   .1601D+00   .3611D+01   .5916D-02   .4419D+00   .9565D+00
 53   .2073D-04   .4064D+01   .5283D+03   .3179D+00  -.6959D+00  -.7032D+00
 54  -.7785D-03   .5920D+00   .7349D+01   .1515D+01   .3474D+00   .6639D+00
 55  -.1064D-03   .8248D+01   .7386D+00   .4305D+01   .6949D+00  -.3707D+00
 56  -.9640D-05   .5919D+03   .8812D-01   .5022D+01   .7060D+00  -.4301D+00
 57  -.1898D-06   .4878D+06   .2609D+00   .3359D-01   .7019D+00  -.2432D+00
 58   .1106D-02   .7896D-01   .4287D-01   .8776D-02  -.9588D+00  -.2205D+00
 59   .2740D-04   .3299D+00   .7760D+03   .1153D+00   .1894D+01  -.7003D+00
 60   .3395D-04   .1924D+00   .5235D+03   .1913D+00  -.1728D+01  -.7000D+00
 61  -.3076D-02   .7469D-01   .1186D+00   .5008D-01  -.1284D+01  -.7571D+00
 62  -.3096D-02   .3388D-01   .1659D+01   .9035D-01  -.2929D+01  -.8853D+00
 63   .6264D-04   .1220D+00   .6156D+03  -.2876D-01   .5811D-01   .7000D+00
 64   .3821D-03   .2761D+02   .1361D+00   .3088D+00  -.6994D+00  -.2531D+01
 65   .1516D-02   .1581D+00   .1182D+02   .5895D-01   .1793D+01  -.6632D+00
 66   .1894D-04   .3010D+02   .3643D+02  -.4527D-01   .7891D+00   .6484D+00
 67   .4839D-03   .4286D+00   .1056D+02   .8022D-01   .1766D+00   .8184D+00
 68   .2140D-03   .4524D+01   .1693D+01  -.2691D-01  -.4592D+00   .1326D+01
 69   .1280D-02   .1093D+00   .1507D+02   .3419D-01   .1929D+01  -.7267D+00
 70  -.9320D-04   .4834D+01   .5209D+00   .5160D+00   .1096D+01   .1959D+01
 71  -.4698D-04   .9835D+01   .2187D+01  -.1130D+00  -.1049D+01   .1350D+01
 72  -.4007D-05  -.7953D-01   .5520D+00   .5163D+03  -.1900D+01  -.2579D+00
 73   .8516D-05   .6560D+02   .5355D+02  -.7754D-01   .6938D+00  -.6921D+00
 74   .7230D-03   .1039D+02   .1209D-01   .3187D-01   .6939D+00  -.7789D+00
 75  -.1756D-03   .4377D-02   .4077D+01   .9952D-01  -.5483D-01  -.1316D+01
 76  -.2871D-03   .1623D+01   .8440D-01   .9505D+00   .1381D+01  -.6907D+00
 77   .4990D-05   .2524D+02   .6034D+01   .5431D+01  -.8125D+00   .3148D+00
 78  -.5159D-04   .6872D+01   .5260D+01   .2085D+00  -.1038D+01   .8633D-01
 79   .1026D-04   .9982D+03   .2510D+01   .4002D+00   .6989D+00  -.8915D+00
 80   .5275D-06   .1198D+04   .5113D+00  -.4898D+00  -.6452D+00  -.6553D+00
 81   .4725D-03   .4334D-01   .1290D+03   .9390D-01   .1978D+01  -.7021D+00
 82   .7204D-02   .8296D-01   .1663D+01   .2592D-01  -.1560D+01  -.9224D+00
 83   .7582D-02   .1719D+01   .6157D-01  -.6947D-02   .5744D+00  -.1864D+00
 84  -.1493D-05   .1971D+00   .7361D+01   .1105D+04   .3347D+00  -.6216D+00
 85   .5085D-04   .1017D+02   .4777D+01   .5854D+00  -.6913D+00  -.1154D+01
 86   .1544D-02   .8094D-01   .1317D+00   .1468D-01   .2720D+01  -.2032D+01
