      LinCoeff:.   AA1:        AA2:        B12:        RZ1:       RZ2:
 FNC: ======================================================================
  1   .1202D+00   .4761D+00   .2786D+00  -.7528D-02   .5081D+00  -.6470D+00
  2   .1081D+00   .6738D+00   .3353D+00  -.1192D-01   .5397D+00   .4414D+00
  3   .3984D-01   .5770D+00   .1011D+01  -.3422D-01   .6333D+00  -.3310D+00
  4  -.6401D-01   .2358D+00   .4687D+00   .1279D+00  -.1144D+00  -.5308D+00
  5   .7010D-01   .8134D+00   .1352D+00  -.1316D-02   .6185D+00  -.5523D+00
  6   .3429D-01   .1695D+00   .1160D+01  -.1184D-01  -.7149D+00  -.3607D+00
  7   .4862D-02   .2464D+01   .3331D+00  -.3349D-01  -.1017D+00  -.6070D+00
  8  -.3679D-01   .1233D+01   .4562D+00   .1922D+00  -.6220D+00  -.2576D+00
  9   .5249D-01   .6328D+00   .1501D+01   .1136D-01   .4585D+00   .6285D+00
 10   .2603D-01   .9872D+00   .2303D+01  -.1350D-01  -.6474D+00   .6803D+00
 11  -.5139D-02   .1671D+01   .7844D+00   .1048D+01   .5757D+00   .1362D+00
 12   .1263D-03   .6912D+00   .3057D+03  -.1069D+00   .2185D+00  -.7008D+00
 13   .8080D-02   .1658D+00   .1005D+02   .1270D-02  -.1535D+00  -.6906D+00
 14   .5475D-02   .1690D+01   .4303D+01  -.1851D+00  -.6416D+00  -.6682D+00
 15  -.1305D-02   .1121D+01   .7589D+00   .4935D+01   .3168D+00   .6477D+00
 16   .1037D-02   .2987D+00   .7698D+02  -.6055D-01   .2146D+00  -.6977D+00
 17   .4334D-02   .5614D+01   .2468D+01  -.2395D-01   .6873D+00  -.6705D+00
 18   .5305D-01   .1906D+01   .2404D+00  -.9501D-02   .6480D+00  -.5091D+00
 19  -.4152D-04  -.8621D+00   .2351D+01   .1426D+03   .1069D+01   .6985D+00
 20   .3303D-02   .1076D+01   .1284D+02  -.1523D-01   .6821D+00  -.6919D+00
 21   .1671D-01   .3258D+00   .3787D+01  -.3848D-01  -.6177D+00  -.6758D+00
 22   .3096D-02   .6919D+00   .1135D+02  -.1131D+00  -.6876D+00  -.6850D+00
 23  -.3816D-02   .5387D+00   .2799D+00   .2031D+01   .1931D+00   .8248D+00
 24   .8090D-03   .1221D+01   .5455D+02  -.1359D-01  -.6497D+00   .6985D+00
 25   .6037D-03   .5707D+01   .2205D+02  -.2224D-01   .6821D+00  -.6997D+00
 26   .9345D-01   .1766D+00   .3376D+00  -.1052D-01   .3800D+00   .4937D+00
 27  -.8752D-04   .1044D+00   .3722D+01   .3796D+02   .1089D+01  -.5140D+00
 28   .3234D-05   .4027D+04  -.1256D-01   .6100D+00  -.6993D+00   .7202D+00
 29   .1807D-01   .5042D+01   .4423D+00  -.1087D-01   .6795D+00  -.6170D+00
 30   .4868D-01   .1017D+01   .4640D+00   .2491D-02  -.7709D+00   .6220D+00
 31   .6452D-02   .1234D+00   .4369D+01   .2138D-01  -.1175D+01   .7218D+00
 32   .4602D-04   .1445D+03   .5773D+01  -.2952D+01  -.7013D+00  -.6851D+00
 33   .8387D-04   .6185D+03  -.2250D+00   .4635D+00   .7016D+00   .1846D+01
 34  -.1565D-05   .1523D+01   .2932D+00   .1756D+04  -.6220D+00   .5396D-01
 35  -.5098D-03   .1321D+01   .5916D+01   .4209D+01  -.4235D+00  -.6516D+00
 36  -.1007D-03   .6869D+00  -.1151D-01   .3804D+02   .3616D+00  -.1704D+00
 37   .1454D-03   .1764D+03   .7807D-01   .3791D+00  -.6971D+00  -.1613D+01
 38   .3505D-03   .2546D+02   .3180D+01  -.8352D+00   .6918D+00   .6879D+00
 39   .1989D-03   .1899D+00   .5365D+02   .1444D-01  -.8386D+00  -.7114D+00
 40   .1414D-04   .2754D+01   .9005D+03  -.9846D-01  -.6953D+00   .7004D+00
 41   .2676D-02   .1519D+01   .2121D+01  -.1333D+00  -.6686D+00  -.5890D-02
 42   .4442D-01   .5267D+00   .8145D-01  -.3837D-02  -.4720D+00  -.3948D+00
 43   .1332D-01   .3273D+01   .1015D+00  -.2601D-03   .5940D+00   .1353D+00
 44  -.1241D-01   .6583D+00   .4339D+00   .4809D+00  -.6765D-02   .7001D+00
 45  -.6970D-04   .1974D+00   .1777D+01   .1951D+01  -.4762D+00   .1250D+01
 46   .1205D-05   .7590D+02   .5473D+00   .2576D+02   .7193D+00   .1178D+01
 47   .6707D-01   .2485D+00   .1417D+00  -.9204D-03   .4471D+00  -.7714D+00
 48   .1385D-05  -.4850D-01   .1787D+02   .3340D+00  -.1589D+01   .3078D+00
 49   .2033D-03   .8941D-01   .2028D+03   .3116D-01   .5113D+00  -.7015D+00
 50   .1383D-01   .1590D+01   .1439D+00   .4986D-02   .8288D+00   .7923D+00
 51   .4180D-02   .3360D+00   .2092D+02   .7398D-02  -.6368D+00   .6985D+00
 52  -.2744D-01   .2096D+00   .1313D+00   .6726D-01   .1714D+00  -.6332D+00
 53  -.3760D-03   .7463D+00   .6254D+00   .1498D+02   .2942D+00  -.1319D+01
 54  -.4936D-05  -.8669D-01   .8777D+00   .5914D+03  -.1615D+01   .1330D+00
 55  -.4336D-02   .1663D+00   .2520D+00   .6895D+00  -.8287D+00   .5552D-01
 56  -.2575D-05   .1535D+00   .1058D+02   .5957D+03   .2103D+01  -.6859D+00
 57   .1571D-02   .1020D+00   .3100D+02  -.6651D-02   .2443D+00  -.6977D+00
 58  -.6108D-05   .3645D+02   .2502D+03   .3021D-01  -.7004D+00   .7132D+00
 59   .2581D-03   .8588D+01   .9507D+01  -.4239D+00  -.6382D+00  -.7098D+00
 60   .2290D-04   .2246D+02   .1493D+03   .1586D+01   .8014D+00  -.7261D+00
 61   .2268D-01   .1768D+00   .8219D-01  -.5717D-02   .4794D+00   .1227D+00
 62   .6449D-03   .4379D+02   .8561D+00  -.2699D+00  -.6987D+00  -.5138D+00
 63   .1360D-02   .7930D+01   .1072D+01  -.1859D+00  -.6948D+00   .6161D-01
 64   .6114D-05   .1976D+04  -.1337D+00   .9846D+00  -.6993D+00  -.1310D+01
 65   .2673D-02   .5500D+00   .2732D+00  -.1620D-01   .1535D+01   .4348D+00
 66   .2226D-02   .7591D+01   .7392D-01  -.2380D-02  -.7118D+00  -.5764D+00
 67   .3209D-11   .2590D+00   .5147D+06   .5326D-02   .1249D+01  -.8150D+00
 68  -.3703D-04   .1140D+01   .4830D+01  -.5921D-01   .1706D+01  -.9888D+00
 69  -.4170D-03   .8828D-01   .4080D+00   .7237D+01   .1474D+01   .1652D+00
 70  -.5587D-04   .4510D+00   .5619D+01   .2081D+02  -.1084D+01   .9017D+00
 71  -.2944D-04   .1094D+01   .2235D+02   .1395D+02   .4254D+00  -.7047D+00
 72  -.1511D-02   .3097D+00   .3787D+01   .8777D+00   .2222D+00   .6968D+00
 73   .1382D-01   .1580D+01   .6571D-01  -.6391D-03   .6005D+00  -.2785D+00
 74   .1263D-10   .2630D+00   .2567D+06   .4715D-01  -.3769D+00   .8109D+00
 75   .1473D-04   .2949D+04   .7468D-01   .6729D-01   .7004D+00  -.1269D+01
 76  -.8759D-05   .6720D+01   .1527D+02   .7991D+02   .7020D+00   .6904D+00
 77   .4878D-04   .2447D+03   .2798D+01   .5658D+00  -.7040D+00   .9119D+00
 78   .1613D-02   .6264D-01   .4866D+00   .2590D-02   .8037D+00  -.1503D+01
 79   .8041D-03   .1637D+00   .2930D+02   .5204D-01  -.1196D+01  -.6877D+00
 80  -.3157D-06   .8549D+00   .6945D+00   .8850D+04   .1189D+01  -.3671D+00
 81   .2666D-04   .7507D-01   .7801D+03   .1015D+00   .1891D+01   .6976D+00
 82  -.7246D-11   .1669D+06  -.5535D+01   .5824D+01  -.7024D+00   .1773D+00
 83   .1995D-02   .2303D+00   .9487D+01  -.7306D-01   .5316D+00  -.6583D+00
 84  -.1483D-06  -.3714D-01   .1190D+06   .2235D+00  -.8237D-01   .7009D+00
 85   .4016D-02   .3553D+00   .3762D-01   .8580D-02   .4139D+00  -.2294D+01
 86   .8140D-05   .5857D-01   .7279D+03   .1957D+01   .1486D+01  -.7000D+00
 87   .5629D-06  -.7770D-01   .8464D+05   .2848D+00  -.1954D+01  -.7006D+00
 88   .1199D-06   .2254D+05  -.3625D+00   .5541D+00   .7038D+00  -.1889D+00
 89  -.2132D-06   .6266D+01   .1095D+02   .8636D+01   .1021D+01  -.8175D+00
 90  -.2639D-05   .3575D+00  -.1973D+00   .1448D+03  -.6421D+00  -.1144D+01
 91   .6108D-05   .4922D+02   .7913D+02   .2907D-01   .7422D+00   .6697D+00
 92   .4848D-04   .9709D+01   .1361D+01  -.1699D-01   .1334D+00  -.7722D+00
 93   .1063D-04   .4672D+01   .1702D+02   .1475D+02   .5968D+00  -.7858D+00
 94   .1503D-03   .1650D+03   .4617D+00   .1371D+00  -.7024D+00   .1328D+01
 95  -.7316D-04   .4102D+01   .2930D+00   .8492D-01  -.1243D+01  -.2020D+01
 96   .7857D-04   .1739D+02   .2946D+00   .2226D+00   .9017D+00  -.1809D+01
 97   .7668D-04   .1429D+01   .5353D+01   .8833D-01  -.4874D-01  -.1241D+01
 98  -.3446D-04   .6344D+00   .2581D+02   .9742D+00  -.1216D+01   .5304D+00
 99   .2326D-11   .4379D+06   .1189D+02  -.1148D+02  -.7162D+00  -.1458D+01
100  -.1902D-04   .1551D+02   .3225D+01  -.1147D+00   .8454D+00  -.1060D+01
101  -.5835D-09   .1002D+00   .1907D+06   .1228D+00   .5396D+00  -.7169D+00
102  -.2132D-05   .8254D-01   .3083D+04   .9060D-02  -.1598D+01   .6977D+00
103   .1118D-03  -.4436D-02   .1148D+03   .7735D-01   .1465D+01  -.6949D+00
104  -.1502D-03   .1934D+01   .3595D+01   .3332D+01   .7694D+00   .1023D+01
105  -.4726D-06   .1342D+01   .1317D+04   .4295D-01  -.7460D+00   .7538D+00
106   .8641D-05   .2879D+01   .1062D+02   .3890D-01   .1565D+01   .8814D+00
107  -.9704D-03   .8210D+00   .9723D+00   .7257D+00   .1139D+01   .9091D+00
108  -.2024D-08   .2221D+05  -.3099D+00   .4165D+00  -.7295D+00  -.9817D+00
109   .7209D-07   .2486D+00   .4838D+06   .1652D-02  -.1284D+00  -.7006D+00
110  -.1591D-07   .1216D+04   .5039D+00   .3580D+01   .6904D+00   .1808D+01
111  -.5309D-04   .2050D+01   .2556D+01   .3060D+01   .1180D+01  -.9667D+00
112  -.2004D-03   .1087D+00   .2625D+01   .1738D-01   .3167D-01  -.1531D+01
113   .2539D-04   .6921D+02   .4525D+00   .7336D+00   .7177D+00   .1732D+01
114   .1725D-02   .9102D+00   .1466D+01  -.6257D-01  -.1322D+01  -.6142D+00
115   .5262D-04   .6183D+01   .1482D+00   .1340D+01   .1169D+01   .6685D+00
116   .2872D-05   .1519D+05   .1181D+00   .1271D+00   .7005D+00  -.1442D+01
117   .1573D-06   .1220D+02   .1428D+05   .3423D-02   .5923D+00  -.6978D+00
118  -.8404D-06   .3780D+02  -.3038D-02   .1090D+02   .6880D-01  -.4334D+00
119  -.1832D-05   .1913D-03   .7239D+01   .7786D-02   .1552D+01  -.1525D+00
120   .7576D-03   .3967D+01   .8781D-01  -.2365D-01   .1023D+01   .4952D-01
121   .4723D-06   .1706D+04  -.7129D-02   .2001D-01   .6999D+00  -.3150D+00
122  -.2346D-04  -.1494D-03   .2210D+02   .4331D-01  -.3529D-01  -.1041D+01
123   .7380D-05   .4985D+01   .1512D+02   .2560D+01  -.3653D+00   .9175D+00
124   .1667D-04   .2244D+04   .5020D+00   .1577D+00  -.7006D+00   .1142D+01
125   .1125D-05   .1403D+01   .1437D+05  -.2772D-02   .4991D+00  -.7010D+00
126  -.4934D-03   .3326D+00   .1419D+00   .3148D+00   .1887D+01   .1256D+01
127   .3179D-04   .7212D-01   .8950D+01  -.5575D-03  -.2130D+00   .1167D+00
128   .2269D-04   .3788D+01   .9773D-01   .2419D+01  -.1811D+01   .3565D+00
129  -.6007D-07   .1409D+04   .1005D+01   .6042D+00  -.7282D+00  -.1189D+01
130   .1858D-06   .1804D+00   .6396D+02   .9388D-03   .1291D+01   .2581D+00
131  -.1039D-05   .6653D+02   .1696D+02   .1270D-01   .9181D+00   .3631D+00
132  -.9856D-06   .3445D-03   .4690D+04   .1401D+01  -.7667D+00   .6942D+00
133   .3471D-03   .1276D+01   .2181D-01   .1121D-01  -.1206D+00  -.1872D+01
134   .4671D-06   .2397D+04  -.5966D+00   .1004D+01   .7245D+00   .1132D+01
135   .7955D-05   .3657D+02  -.7999D-01   .1058D+00  -.6233D+00   .1048D+01
136  -.1547D-04   .4310D+01   .1621D+02   .4280D-03   .1262D-01  -.1231D+01
137   .5246D-07   .4221D+05   .9746D+01  -.7674D+00  -.7008D+00   .1024D+01
