      LinCoeff:.   AA1:        AA2:        B12:        RZ1:       RZ2:
 FNC: ======================================================================
  1   .3083D-01   .5145D+01   .2260D+02   .5380D-01   .7020D+00  -.7010D+00
  2   .5724D-02   .6916D+03   .1558D+00   .4583D-01   .7002D+00  -.2460D+00
  3   .1294D-02   .1995D+01   .1324D+03  -.1728D+00   .8050D+00  -.6960D+00
  4   .1152D-01   .1755D+02   .7966D+01  -.2791D+01   .6809D+00   .6972D+00
  5   .4671D+00   .5055D+01   .2963D+00  -.3618D-01  -.6790D+00  -.7061D+00
  6   .1918D+00   .1292D+02   .8388D+00  -.2574D-01   .6912D+00  -.6356D+00
  7  -.5707D-02   .1888D+01   .3323D-01   .7265D+02   .5512D+00   .1220D+00
  8   .1056D+00   .3413D+02   .2948D+00   .2141D-01   .7005D+00  -.6654D+00
  9   .5178D+00   .2708D+00   .6600D+01  -.1499D-02   .6214D+00  -.6953D+00
 10   .9872D+00   .1246D+00   .1685D+01  -.3257D-02   .5412D+00   .4986D+00
 11  -.9468D+00   .1440D+00   .2543D+00   .1467D+00  -.7992D-01   .5367D+00
 12   .1405D+01   .1401D+01   .6074D+00  -.4078D-01   .6118D+00   .5812D+00
 13   .3170D+00   .4760D+01   .1856D+01  -.4542D-02   .7031D+00  -.6693D+00
 14  -.2560D-01   .3971D+00   .5364D+00   .1338D+02   .7901D+00   .9361D-01
 15   .2505D+00   .1591D+01   .3880D+01  -.2319D+00  -.6094D+00  -.6748D+00
 16   .1191D+01   .7508D+00   .1426D+01   .4681D-02   .6456D+00  -.7204D+00
 17   .2288D+01   .2564D+00   .6818D+00  -.2206D-01  -.7106D+00  -.5774D+00
 18  -.1215D+00   .3960D+00   .1917D+00   .2332D+01  -.1212D+00   .1432D+01
 19   .2900D+01   .5391D+00   .5289D+00  -.3527D-01   .6756D+00  -.1766D+00
 20   .1117D+01   .5082D+00   .2817D+01  -.2473D-01   .5524D+00  -.6642D+00
 21   .4190D+01   .2249D+00   .3476D+00  -.2122D-01   .5706D-01  -.7002D+00
 22   .3137D+01   .2529D+00   .1026D+01  -.1757D-01   .4993D+00  -.4629D+00
 23   .3226D+00   .1649D+01   .1237D+01  -.1396D+00   .2392D+00  -.6395D+00
 24   .1950D+01   .1057D+00   .2139D+00  -.1302D-01   .1530D+00   .5631D+00
 25  -.1042D+01   .3484D+00   .2961D+00  -.5563D-01   .9747D+00  -.2348D+00
 26   .9256D+00   .2047D+00   .1992D+01  -.2341D-01  -.1984D+00  -.7567D+00
 27  -.1397D+01   .5980D+00   .2699D+00   .3287D+00   .5853D+00   .6304D-01
 28   .3534D+01   .3811D+00   .1336D+00  -.8365D-02   .2091D+00  -.7277D+00
 29   .5994D+00   .1075D+00   .2358D+01   .1478D-01   .1201D+01  -.6867D+00
 30   .1353D+01   .2628D+00   .7438D+00   .2412D-01   .9220D+00  -.8870D+00
 31   .1989D+01   .7825D-01   .7566D+00  -.1634D-02   .1327D-01  -.6057D+00
 32   .8150D+00   .2976D+00   .2664D+00  -.3162D-01   .8926D+00  -.7139D+00
 33  -.4573D+00   .5023D+00   .1340D+01   .8684D+00   .1106D+00   .5801D+00
 34  -.4540D-03   .1806D+02   .5393D+00   .2664D+00   .5906D-01   .1744D-01
 35   .1863D+00   .2350D+00   .3712D+01  -.4520D-01  -.2479D+00   .4321D+00
 36   .7299D-01   .1824D+00   .1135D+03   .5469D-01  -.2856D+00   .6996D+00
 37   .6356D-02   .2224D+01   .1013D+03  -.7149D+00   .7755D+00   .6970D+00
 38   .2090D-01   .1420D+01   .7648D+02  -.2527D+00  -.4097D+00   .6950D+00
 39   .2184D-01   .2701D+00   .7974D+02  -.9165D-01  -.3126D+00   .6900D+00
 40   .2570D+00   .6883D-01   .4557D+01   .1078D-02   .2207D+00   .6884D+00
 41  -.8998D+00   .3004D+00   .1211D+00  -.2945D-01  -.9541D-01  -.9699D-02
 42   .1441D+00   .5220D+00   .2570D+01  -.4731D-01   .8236D+00   .2875D+00
 43   .4931D-01   .1517D+00   .4148D+02   .6846D-01   .6987D+00   .6996D+00
 44   .2135D-01   .1020D+00   .8761D+02  -.6746D-03   .3685D+00   .6979D+00
 45   .2332D+00   .1177D+00   .1376D+02   .2448D-02  -.9219D-01   .6917D+00
 46   .2898D-03   .3506D-01   .6828D+01   .3508D-02   .6824D-01   .1329D+00
 47   .1095D+00   .8662D+00   .1438D+02  -.2529D+00   .6383D+00   .6914D+00
 48  -.7466D-01   .5699D+00   .2454D+01   .4535D+01   .1184D+00   .6257D+00
 49  -.9437D-01   .1504D+00   .8555D+02   .6214D-01  -.3091D+00   .6966D+00
 50  -.3132D-02   .2107D+00   .7131D+02  -.2289D-01   .2431D+00   .6977D+00
 51   .1673D-01   .2074D+00   .5994D+02   .5561D-01   .5205D+00   .6842D+00
 52   .1802D-02   .7854D+00   .1321D+02   .4827D-01   .2212D+00   .2032D+00
 53   .2196D-02   .1759D+00   .2246D+02   .1680D-02   .2809D+00   .4784D+00
 54   .2052D-01   .3617D-01   .2201D+01  -.3787D-02   .1225D+00   .1784D+00
 55   .7950D-03   .1752D-01   .2745D+02  -.1211D-02   .4399D+00   .5701D+00
 56   .1666D-03   .6105D+00   .7596D+02  -.4951D-02   .4838D+00   .9039D+00
 57   .2770D+00   .4868D-01   .2487D+00  -.3318D-02   .1397D-01   .1007D+00
 58  -.9138D-02   .6642D-01   .5384D+02  -.7305D-03   .4566D+00   .6986D+00
 59  -.4854D-03   .8733D-02   .9470D+01  -.4705D-03   .1615D+00   .3004D+00
 60   .4931D-04   .7399D-02   .7275D+02  -.5650D-03   .5603D+00   .8535D+00
 61   .1733D-01   .8859D-01   .4684D+02  -.2699D-01   .2082D-01   .7026D+00
 62   .5613D-02   .1158D+01   .5022D+02  -.2174D-01   .2649D+00   .7286D+00
 63  -.8078D-03   .6233D+00   .6596D+02  -.5972D-02   .4483D+00   .8048D+00
 64   .4893D-02   .1316D+01   .4451D+03   .1009D+00   .6574D+00  -.7012D+00
 65   .1451D-04   .8532D+02   .6713D+04  -.1055D-04   .7006D+00  -.7006D+00
 66   .4755D-03   .1896D+04   .3466D+01   .2065D-01   .7005D+00  -.7005D+00
 67  -.3374D-04   .2140D+03   .3355D+03   .1883D-04   .7005D+00  -.7005D+00
 68   .1814D-03   .6027D+04   .1146D+00   .1040D+01   .7005D+00  -.7004D+00
 69   .1891D-04   .1358D+04   .1308D+01  -.2518D+00   .7003D+00  -.7006D+00
 70   .2873D-03   .8493D+04   .1181D+00   .5036D-01   .7006D+00  -.7005D+00
 71   .1541D-05   .4956D+03   .3698D+04  -.3709D-05   .7006D+00  -.7006D+00
 72  -.1973D-02   .8320D+03   .1682D+01   .1095D+00   .7009D+00  -.7004D+00
