 :BEGIN:
	55
	83	1	1776.77556	254.017712	.01	.1006	-.2006
	84	1	1776.77556	54.698039	.01	.3006	-.4006
	85	1	1776.77556	15.018344	.01	.5006	-.6006
	86	1	1776.77556	4.915078	.01	.7006	-.8006
	87	1	1776.77556	1.794924	.81	.7006	-.6006
	88	1	1776.77556	0.710716	.81	.5006	-.4006
	89	1	1776.77556	0.304802	.81	.3006	-.2006
	90	1	1776.77556	0.138046	.81	.1006	-.2006
	91	1	1776.77556	0.062157	.001	.3006	-.4006
	92	1	254.017712	54.698039	.001	.5006	-.6006
	93	1	254.017712	15.018344	.001	.7006	-.8006
	94	1	254.017712	4.915078	.001	.8006	-.7006
	95	1	254.017712	1.794924	.081	.6006	-.5006
	96	1	254.017712	0.710716	.081	.4006	-.3006
	97	1	254.017712	0.304802	.081	.2006	-.1006
	98	1	254.017712	0.138046	.081	.2006	-.3006
	99	1	254.017712	0.062157	.881	.4006	-.5006
	100	1	54.698039	15.018344	.881	.6006	-.7006
	101	1	54.698039	4.915078	.881	.8006	-.7006
	102	1	54.698039	1.794924	.881	.6006	-.4006
	103	1	54.698039	0.710716	1	.2006	-.4006
	104	1	54.698039	0.304802	1	.6006	-.8006
	105	1	54.698039	0.138046	1	.7006	-.5006
	106	1	54.698039	0.062157	.31	.3006	-.1006
	107	1	15.018344	4.915078	.31	.3006	-.5006
	108	1	15.018344	1.794924	.31	.7006	-.8006
	109	1	15.018344	0.710716	.31	.7006	-.7006
	110	1	15.018344	0.304802	.111	.6006	-.5006
	111	1	15.018344	0.138046	.111	.5006	-.4006
	112	1	15.018344	0.062157	.111	.3006	-.3006
	113	1	4.915078	1.794924	.111	.2006	-.1006
	114	1	4.915078	0.710716	.0031	.1006	-.2006
	115	1	4.915078	0.304802	.0031	.2006	-.3006
	116	1	4.915078	0.138046	.0031	.4006	-.4006
	117	1	4.915078	0.062157	.0031	.5006	-.6006
	118	1	1.794924	0.710716	.0301	.6006	-.7006
	119	1	1.794924	0.304802	.0301	.8006	-.8006
	120	1	1.794924	0.138046	.0301	.7006	-.6006
	121	1	1.794924	0.062157	.0301	.7006	-.5006
	122	1	0.710716	0.304802	.00001	.7006	-.4006
	123	1	0.710716	0.138046	.00001	.7006	-.3006
	124	1	0.710716	0.062157	.00001	.7006	-.2006
	125	1	0.304802	0.138046	.00001	.7006	-.1006
	126	1	0.304802	0.062157	.91	.1006	-.6006
	127	1	0.138046	0.062157	.91	.2006	-.6006
	128	1	1776.77556	1776.77556	.91	.3006	-.6006
	129	1	254.017712	254.017712	.91	.4006	-.6006
	130	1	54.698039	54.698039	.51	.5006	-.6006
	131	1	15.018344	15.018344	.51	.4006	-.5006
	132	1	4.915078	4.915078	.51	.3006	-.5006
	133	1	1.794924	1.794924	.51	.2006	-.5006
	134	1	0.710716	0.710716	.71	.1006	-.5006
	135	1	0.304802	0.304802	.71	.2006	-.3006
	136	1	0.138046	0.138046	.71	.1006	-.7006
	137	1	0.062157	0.062157	.71	.6006	-.3006
 :END:
 ENERGY=      -1.174467948231372
