      LinCoeff:.   AA1:        AA2:        B12:        RZ1:       RZ2:
 FNC: ======================================================================
  1   .2288D+00   .1893D+00   .2746D+02   .1283D+00   .9873D+00  -.7072D+00
  2   .5327D+00   .2440D+00   .1581D+02  -.3809D-01   .5036D+00  -.6913D+00
  3   .9348D+00   .2234D+01   .7890D+00  -.8165D-01   .6864D+00  -.2961D+00
  4   .1385D+01   .5689D+00   .3501D+00   .1660D+00  -.7131D+00  -.6571D+00
  5   .1182D+01   .1637D+00   .2316D+00   .2242D-02   .8651D+00  -.7787D+00
  6   .1179D+01   .4808D+00   .4331D+00  -.5074D-02   .9033D+00  -.7978D+00
  7   .1416D+01   .1888D+01   .1095D+01  -.1839D-01   .6022D+00  -.7207D+00
  8   .1421D+01   .1103D+00   .6014D+00   .4602D-02   .1584D+00  -.7377D+00
  9   .1019D+01   .1080D+01   .2293D+01   .7554D-02  -.6607D+00  -.5001D+00
 10   .9861D+00   .2070D+01   .5565D-01   .5660D-02   .6292D+00  -.2107D+00
 11  -.3893D-04   .1027D+01   .8470D-01  -.7634D-01   .9773D+00  -.1070D-01
 12   .1244D+01   .3529D+00   .1068D+01  -.6545D-01   .7567D+00   .5857D+00
 13   .6224D+00   .4324D+01   .2179D+01  -.3588D-01   .6654D+00  -.6922D+00
 14   .1515D+01   .4408D+00   .1012D+00  -.8538D-02  -.1629D+00  -.8476D+00
 15   .1137D+01   .3165D+00   .8088D+00   .3579D-01   .9289D+00  -.7059D+00
 16   .1030D+01   .2883D+01   .1141D+01   .1991D+01  -.5921D+00  -.4367D+00
 17   .6393D-01   .5686D+01   .7510D+01   .3323D+00   .8036D+00  -.7240D+00
 18   .1179D+01   .1184D+00   .1084D+01  -.1400D-02   .2662D-01  -.6386D+00
 19   .1251D+01   .6140D-01   .8817D+00  -.1378D-02   .5119D-01  -.5492D+00
 20   .1380D+01   .1827D+00   .4130D+00  -.1165D-01   .8091D-01  -.6912D+00
 21   .1306D+01   .2270D+00   .2578D+01  -.2146D-01  -.4028D+00  -.5409D+00
 22   .2990D+00   .2309D+01   .1081D+00   .3600D-01  -.6862D+00  -.1755D+01
 23   .1404D+01   .3388D+00   .1810D+00  -.1987D-01   .1763D+00  -.1756D+00
 24   .1178D+01   .2045D+00   .5248D+00   .8689D-02   .8715D+00  -.8826D+00
 25   .1135D+01   .1306D+00   .1384D+01  -.8228D-02   .7939D-01  -.1338D+00
 26  -.1072D+01   .1058D+01   .2794D+01   .2603D+01   .4039D+00   .5969D+00
 27  -.2180D+01   .1077D+01   .3316D+01   .2972D+00   .4762D+00   .6704D+00
 28   .1302D+01   .6457D-01   .3224D+00  -.1324D-03   .1777D-01  -.5533D+00
 29   .1493D+01   .6520D+00   .3325D+00  -.3008D-01  -.5873D-01  -.7925D+00
 30   .9785D+00   .1558D+00   .3031D+01   .3610D-02   .1092D+01  -.6145D+00
 31   .1561D+01   .1478D+00   .3412D+00  -.9091D-02  -.1017D+01  -.7398D+00
 32   .2744D+00   .7978D-01   .3814D+01   .7073D-01   .1050D+01   .4119D+00
 33  -.4208D-01   .1539D+00   .2847D+00  -.1699D-02   .9485D-02  -.4209D+00
 34   .1040D+01   .4935D+01   .2187D+00   .4295D-02   .7087D+00  -.2196D+00
 35   .1400D+01   .4086D+00   .8178D+00  -.9379D-01  -.2813D+00  -.6787D+00
 36  -.4235D+01   .2560D+00   .4956D+00   .3649D+00  -.6853D-01  -.6040D+00
 37  -.7607D-01   .7869D+00   .6486D+00   .2243D+02   .6706D+00   .2815D+00
 38   .6176D+00   .5713D+00   .2468D+01  -.1181D+00   .4450D+00  -.2654D+00
 39   .1128D+01   .5924D+00   .1057D+01   .2720D-01   .7710D+00  -.6721D+00
 40  -.4497D+01   .4674D+00   .1883D+00   .3332D+01  -.1054D+00  -.7085D+00
 41   .7345D-01   .4322D+01   .3210D+02   .3388D-01   .7010D+00  -.7054D+00
 42   .1193D+01   .4479D+00   .5650D+00   .1785D-01   .7591D+00  -.8422D+00
 43   .1064D+01   .5139D+01   .6230D+00  -.5563D-01  -.6613D+00  -.6176D+00
 44   .2019D+01   .1524D+00   .5400D+00   .3207D+01  -.5952D+00  -.3017D+00
 45  -.5350D+00   .3587D+00   .5254D+00  -.1200D+00   .5765D-01  -.1153D+00
 46   .1531D+01   .1520D+00   .2651D+00  -.3338D-02   .5249D+00  -.6989D+00
 47   .1126D+01   .1170D+01   .1356D+00   .2519D-02   .7223D+00  -.8308D+00
 48   .1576D+01   .4494D+00   .1733D+00  -.8264D-02  -.7537D-02  -.6852D+00
 49  -.1664D+01   .5982D+00   .1335D+01  -.2759D+00   .4241D+00   .4673D+00
 50   .1703D+01   .2295D+00   .4369D+00  -.1819D-01   .4859D+00  -.3183D+00
 51   .3234D+00   .2078D+00   .1603D+02   .1420D-02  -.9931D+00  -.6852D+00
 52   .7026D-03   .6522D+00   .6117D+00  -.3147D+00   .8186D+00  -.2391D+00
 53   .1406D+01   .2457D+00   .2391D+00  -.1359D-01   .4460D-01  -.6700D+00
 54   .1095D+01   .1156D+01   .5272D+00  -.7270D-01   .6869D+00  -.4668D-01
 55  -.2421D+01   .7163D+00   .4854D+00  -.8676D-01   .1009D+01  -.2112D+00
 56   .9166D-01   .6421D+00   .7028D+02  -.5993D-01  -.5656D+00  -.6984D+00
 57   .1755D+00   .1085D+00   .5550D+02  -.4715D-02   .5949D-01  -.6978D+00
 58   .1155D+01   .1257D+00   .7182D+00  -.3261D-02   .3367D+00  -.4326D+00
 59   .1216D+01   .1565D+01   .3159D+00  -.5764D-01   .5502D+00   .8832D-02
 60   .1393D+01   .2225D+00   .2454D+00  -.4671D-02   .8014D+00  -.3201D-01
 61   .4847D-01   .1701D+01   .2833D+01  -.2879D+00   .7931D-01  -.6259D+00
 62   .1228D+01   .2519D+00   .2412D+01  -.5433D-01   .7599D+00   .7207D+00
 63   .9681D+00   .4860D+00   .5123D+01   .4408D-01   .8063D+00  -.7199D+00
 64   .1288D+00   .6377D+02   .7693D+00  -.1462D+00   .6960D+00  -.5189D+00
 65   .1581D+01   .3330D+00   .8597D+00  -.6842D-01   .2792D+00  -.4380D+00
 66   .1347D+01   .2788D+00   .1838D+00  -.2053D-01   .1281D+00  -.7922D-01
 67   .1233D+01   .8361D-01   .5180D+00  -.1064D-02   .2902D+00  -.7128D+00
 68   .1234D+01   .1349D+00   .1784D+01  -.2378D-02   .2686D+00  -.6830D+00
 69   .4274D+00   .6592D+00   .1192D+02   .2016D+00  -.3908D+00  -.6946D+00
 70   .5597D-01   .3062D+00   .3356D+03  -.9346D-01  -.1155D+00  -.7001D+00
 71   .7963D+00   .8509D-01   .7606D+01  -.3625D-02  -.4429D-01  -.6854D+00
 72   .1465D+01   .2576D+00   .6634D+00  -.1795D-01   .7496D+00  -.5560D-01
 73   .1217D+01   .3210D+00   .1920D+01  -.5172D-01   .2967D+00  -.6261D+00
 74   .1200D+01   .4073D+00   .4907D+00  -.1601D-01   .8181D+00  -.9026D+00
 75  -.1919D-02   .9052D+00   .8921D+00  -.4487D+00   .7484D+00  -.1090D+00
 76   .8864D+00   .3777D+01   .1549D+00  -.1085D-02   .7440D+00  -.1869D+00
 77   .5601D+00   .7771D+00   .6710D+00  -.5422D-01  -.4230D-01  -.8207D+00
 78   .3441D-01   .5076D+01   .8703D+00  -.1636D+00  -.1099D+00  -.5376D+00
 79   .2303D+01   .4105D+00   .2299D+00   .3356D+01  -.3232D-01  -.4630D+00
 80   .6245D+00   .4528D+01   .5848D+00  -.6606D-01   .6525D+00  -.5174D+00
 81   .1570D+01   .1374D+00   .6219D+00  -.6547D-02   .5080D+00  -.2257D+00
 82  -.1447D+01   .2071D+00   .1586D+00   .1644D+00   .9443D+00  -.5504D-01
 83   .1381D+00   .2715D-01   .2448D+00   .7182D-02   .5761D-02  -.3290D+00
 84   .5077D-01   .6759D-01   .8255D+00  -.5576D-02   .7581D-02  -.8584D+00
 85   .6127D+00   .1336D+01   .3384D+01   .1611D-01   .2585D+00   .7362D+00
 86  -.6722D-02  -.4929D+00   .4012D+01   .6174D+00   .2156D+00  -.2667D+00
 87  -.1179D-02   .1308D+02   .1757D+02  -.5170D+01  -.4012D+00   .2713D+00
 88  -.1295D+01   .1020D+00   .2532D+00   .1050D+00   .3756D-01  -.8017D-01
 89   .1306D+01   .1113D+00   .1455D+00  -.8046D-02   .3386D-01  -.5621D+00
 90   .1116D+01   .3215D+00   .1391D+01   .2259D-01   .8326D+00  -.7075D+00
 91   .1027D+01   .1356D+01   .5378D+00  -.1394D+00  -.4956D+00  -.7089D+00
 92   .1240D+01   .1037D+00   .1030D+01   .4617D-02   .9333D-01  -.6327D+00
 93   .1151D+01   .2042D+01   .6411D+00   .1974D-01   .7396D+00  -.7750D+00
 94   .1473D+01   .2570D+00   .3171D+00  -.1947D-01  -.1528D+00  -.8222D+00
 95   .1578D+01   .3674D+00   .5214D+00  -.4714D-01   .2553D+00  -.6042D+00
 96  -.2652D+00   .1110D+01   .7817D-01   .1382D+01   .9002D+00  -.1042D+01
 97   .1692D+01   .1681D+00   .4807D+00  -.9803D-02   .6124D+00  -.2405D+00
 98   .5320D+00   .7871D+01   .3190D+00  -.2195D-01   .6531D+00  -.3116D+00
 99   .5476D+00   .1285D+02   .1072D+01  -.1759D-01   .6936D+00  -.6005D+00
100   .1371D+01   .1468D+00   .3891D+00   .3632D-02   .5434D+00  -.8068D+00
