 Correlated Gaussian Geminal Output:  H_2
 ===================================================
 Adamowicz Research /            [Univ. of AZ, CHEM]
 Programming:[D. Gilmore, L. Adamowicz, D. Kinghorn]
  PROGRAM BEGINS:  TIME STAMP...
      3/26/1996
      1:27:16:32 
 OUTPUT STREAM BEGINS...
  
 NUMBER OF FUNCTIONS=         32
 FUNCTION GENERATION=RANDOM                                                     
        
 OPTIMIZATION METHOD=IMSL:DUMING                                                
        
     OUTPUT FILENAME=24mar96_004_32.out                                         
        
  NEW RESTART OUTPUT=restart_24mar96_004_32.dat                                 
        
  
 GENERATING RANDOM GAUSSIAN GEMINAL DATA...
  
       T1                T2               T12              LinCoeff.
      --------------------------------------------------------------------------
 
     .64480489E+00     .37642303E+00     .31656936E-01     .12000946E+00     .64492406E+00    -.37621891E+00
     .97649002E+00     .14958888E+00     .80519575E-01     .60279489E+00     .97661047E+00    -.14880262E+00
     .51285964E+00     .24817456E+00     .63442850E-01     .49763033E+00     .51301709E+00    -.24784919E+00
     .11305419E+00     .23853014E+00     .88343732E-02     .44040459E+00     .11307526E+00    -.23852016E+00
     .77023160E+00     .85103810E+00     .45979413E-01     .72273779E+00     .77062291E+00    -.85068395E+00
     .27687049E+00     .81522924E+00     .92933005E-01     .69153947E+00     .27762811E+00    -.81497193E+00
     .30085546E+00     .59358460E+00     .92290968E-01     .77322042E+00     .30140328E+00    -.59330693E+00
     .12283815E+00     .52053303E+00     .64953941E-01     .91575742E+00     .12317626E+00    -.52045324E+00
     .52590227E+00     .82888550E+00     .13200454E-01     .99137557E+00     .52601169E+00    -.82881607E+00
     .69035053E+00     .91048145E+00     .84985328E-01     .26859713E+00     .69112431E+00    -.90989476E+00
     .45153835E+00     .20799364E+00     .61073314E-02     .69960706E-01     .45155106E+00    -.20796606E+00
     .73147893E-01     .92205471E+00     .50330281E-01     .93059415E+00     .73611966E-01    -.92201789E+00
     .71147072E+00     .40421486E+00     .85578299E-01     .50072366E+00     .71181664E+00    -.40360599E+00
     .43117335E+00     .16913418E+00     .27639169E-01     .70260620E+00     .43122010E+00    -.16901501E+00
     .50395256E+00     .29405829E+00     .48776066E-01     .69441426E+00     .50409599E+00    -.29381248E+00
     .70686162E-01     .91681749E-01     .56980252E-01     .93659508E+00     .70738402E-01    -.91641471E-01
     .38042873E+00     .67525899E+00     .42757136E-01     .29708427E+00     .38071745E+00    -.67509633E+00
     .55473858E+00     .78667152E+00     .42195880E-01     .37360102E+00     .55507052E+00    -.78643744E+00
     .94657667E-01     .22008763E+00     .85011512E-01     .90769327E+00     .94844767E-01    -.22000716E+00
     .26233479E+00     .16308497E+00     .27444872E-01     .91366547E+00     .26237955E+00    -.16301297E+00
     .54525828E+00     .16325003E+00     .24188800E-01     .17545906E+00     .54529777E+00    -.16311814E+00
     .58432871E+00     .13007703E+00     .94818532E-01     .85322148E+00     .58445205E+00    -.12952298E+00
     .85505980E+00     .59132016E+00     .61596614E-01     .30274075E+00     .85542404E+00    -.59079347E+00
     .59930730E+00     .16375099E+00     .42443830E-01     .60383346E-01     .59937680E+00    -.16349662E+00
     .76447034E+00     .74834931E+00     .57081372E-01     .74889416E+00     .76489751E+00    -.74791294E+00
     .87085301E+00     .94562513E+00     .27047339E-01     .21031760E-01     .87110877E+00    -.94538958E+00
     .22409444E+00     .26227978E+00     .50745171E-01     .20077710E+00     .22422753E+00    -.26216606E+00
     .71146286E+00     .22539511E-01     .47965338E-03     .53348535E+00     .71146296E+00    -.22536099E-01
     .87168860E+00     .28131473E+00     .34406605E-01     .41311184E+00     .87178540E+00    -.28101481E+00
     .32152116E+00     .14736894E+00     .64633369E-01     .17328520E+00     .32161641E+00    -.14716113E+00
     .64970338E+00     .83147496E+00     .12803040E-01     .15561105E+00     .64980984E+00    -.83139178E+00
     .50128299E+00     .43160266E+00     .89194798E-01     .22184114E+00     .50166796E+00    -.43115554E+00
  
  
 BEGINNING TIMING ROUTINE...Please Stand By...
 ---------------------------------------------
 :BEGIN:
      1:27:17:64 
 :FUNCTION CALCULATION IN PROGRESS:
      1:27:19:45 
 :GRADIENT CALCULATION IN PROGRESS:
      1:27:25:38 
 :END:
  
            UNOPTIMIZED ENERGY =  -8.582434215849438E-001
  
  UNOPTIMIZED ENERGY ROUTINE FINISHES:  TIME STAMP...
      3/26/1996
      1:27:25:43 
  
 IMSL:DUMING Optimization Begins...
 ----------------------------------
 ENERGY= -8.582434215849439E-001   --->   ||g||^2 =   4.371775981858095E-001
 ENERGY=      -1.166423519565029   --->   ||g||^2 =   1.439673277706682E-005
 ENERGY=      -1.166463868421601   --->   ||g||^2 =   1.193246488068254E-005
 ENERGY=      -1.166489689764984   --->   ||g||^2 =   9.530160985281926E-006
 ENERGY=      -1.166509572374325   --->   ||g||^2 =   1.026103302856644E-005
 ENERGY=      -1.166536251703368   --->   ||g||^2 =   1.476419762602174E-005
 ENERGY=      -1.166580324485726   --->   ||g||^2 =   2.404944790972968E-005
 ENERGY=      -1.166643453756820   --->   ||g||^2 =   3.266789748469037E-005
 ENERGY=      -1.166708261765275   --->   ||g||^2 =   2.870752070292871E-005
 ENERGY=      -1.166755918496321   --->   ||g||^2 =   1.733640923847840E-005
 ENERGY=      -1.166785806302170   --->   ||g||^2 =   1.287340693405910E-005
 ENERGY=      -1.166814139673434   --->   ||g||^2 =   1.303417760211780E-005
 ENERGY=      -1.166851511197260   --->   ||g||^2 =   1.402626319436265E-005
 ENERGY=      -1.166888517724787   --->   ||g||^2 =   1.233240188623524E-005
 ENERGY=      -1.166916060235249   --->   ||g||^2 =   9.735501552961049E-006
 ENERGY=      -1.166936132118377   --->   ||g||^2 =   9.129949930392907E-006
 ENERGY=      -1.166957421657711   --->   ||g||^2 =   1.006277779882505E-005
 ENERGY=      -1.166988007344486   --->   ||g||^2 =   1.123908441315873E-005
 ENERGY=      -1.167023968739247   --->   ||g||^2 =   1.156696745637586E-005
 ENERGY=      -1.167052634635311   --->   ||g||^2 =   7.842611183899728E-006
 ENERGY=      -1.167073269957961   --->   ||g||^2 =   7.965593375488767E-006
 ENERGY=      -1.167089473837067   --->   ||g||^2 =   6.427086331665822E-006
 ENERGY=      -1.167110095130219   --->   ||g||^2 =   6.126661010469941E-006
 ENERGY=      -1.167129916352528   --->   ||g||^2 =   6.146276336655319E-006
 ENERGY=      -1.167151823830254   --->   ||g||^2 =   5.809426360191542E-006
 ENERGY=      -1.167170058623855   --->   ||g||^2 =   5.492211842857603E-006
 ENERGY=      -1.167188100051202   --->   ||g||^2 =   5.223980634522206E-006
 ENERGY=      -1.167205515039312   --->   ||g||^2 =   5.144774991106940E-006
 ENERGY=      -1.167219033286865   --->   ||g||^2 =   5.017820761711417E-006
 ENERGY=      -1.167230645762612   --->   ||g||^2 =   4.856651422874410E-006
 ENERGY=      -1.167245466824835   --->   ||g||^2 =   4.987899248032299E-006
 ENERGY=      -1.167264158390767   --->   ||g||^2 =   5.355914172844824E-006
 ENERGY=      -1.167284136343671   --->   ||g||^2 =   5.803973654318966E-006
 ENERGY=      -1.167301409410148   --->   ||g||^2 =   5.249816229825064E-006
 ENERGY=      -1.167314550260273   --->   ||g||^2 =   4.510850641803519E-006
 ENERGY=      -1.167324560721506   --->   ||g||^2 =   3.750719118828337E-006
 ENERGY=      -1.167333872162414   --->   ||g||^2 =   3.752835534291184E-006
 ENERGY=      -1.167345131833756   --->   ||g||^2 =   3.415137056138689E-006
 ENERGY=      -1.167358213283505   --->   ||g||^2 =   3.278696958234342E-006
 ENERGY=      -1.167368212361395   --->   ||g||^2 =   2.972147814655795E-006
 ENERGY=      -1.167374757083391   --->   ||g||^2 =   2.836116703113748E-006
 ENERGY=      -1.167381901939913   --->   ||g||^2 =   2.815274858585208E-006
 ENERGY=      -1.167393601959955   --->   ||g||^2 =   3.145263019660000E-006
 ENERGY=      -1.167410938365923   --->   ||g||^2 =   3.646483716644994E-006
 ENERGY=      -1.167428722743902   --->   ||g||^2 =   3.686506615233543E-006
 ENERGY=      -1.167440357728651   --->   ||g||^2 =   3.343062793474374E-006
 ENERGY=      -1.167447424471138   --->   ||g||^2 =   3.198638668863905E-006
 ENERGY=      -1.167454892704273   --->   ||g||^2 =   3.198085230780086E-006
 ENERGY=      -1.167467389330547   --->   ||g||^2 =   3.276487818730194E-006
 ENERGY=      -1.167485132417829   --->   ||g||^2 =   3.277107715780198E-006
 ENERGY=      -1.167501343371044   --->   ||g||^2 =   2.744247701300734E-006
 ENERGY=      -1.167511404174100   --->   ||g||^2 =   3.171034873663908E-006
 ENERGY=      -1.167517834693031   --->   ||g||^2 =   2.571145856152409E-006
 ENERGY=      -1.167523474395786   --->   ||g||^2 =   2.393707158103336E-006
 ENERGY=      -1.167531742164824   --->   ||g||^2 =   2.470147852923413E-006
 ENERGY=      -1.167541083967491   --->   ||g||^2 =   2.731515072584422E-006
 ENERGY=      -1.167555256756115   --->   ||g||^2 =   3.053880989677208E-006
 ENERGY=      -1.167566526220520   --->   ||g||^2 =   2.581022463234999E-006
 ENERGY=      -1.167574815495749   --->   ||g||^2 =   2.296870876254589E-006
 ENERGY=      -1.167580673979721   --->   ||g||^2 =   2.171279776069917E-006
 ENERGY=      -1.167586143830194   --->   ||g||^2 =   2.217775555138294E-006
 ENERGY=      -1.167594230381386   --->   ||g||^2 =   2.542888479758373E-006
 ENERGY=      -1.167609253801810   --->   ||g||^2 =   3.181146108992909E-006
 ENERGY=      -1.167631434160744   --->   ||g||^2 =   3.997504433555900E-006
 ENERGY=      -1.167652495829664   --->   ||g||^2 =   4.069657373785727E-006
 ENERGY=      -1.167665810052889   --->   ||g||^2 =   3.533109646659242E-006
 ENERGY=      -1.167673594870672   --->   ||g||^2 =   3.276269866049177E-006
 ENERGY=      -1.167681378164346   --->   ||g||^2 =   3.153661517018313E-006
 ENERGY=      -1.167694266613886   --->   ||g||^2 =   3.066954724709969E-006
 ENERGY=      -1.167711988800853   --->   ||g||^2 =   3.152369400923161E-006
 ENERGY=      -1.167728385992991   --->   ||g||^2 =   2.487000903166823E-006
 ENERGY=      -1.167738834269283   --->   ||g||^2 =   1.758873758042890E-006
 ENERGY=      -1.167742576952092   --->   ||g||^2 =   1.633660334611202E-006
 ENERGY=      -1.167746064922302   --->   ||g||^2 =   1.596631936602372E-006
 ENERGY=      -1.167754249817427   --->   ||g||^2 =   1.825243130485065E-006
 ENERGY=      -1.167766513625350   --->   ||g||^2 =   2.080559018816684E-006
 ENERGY=      -1.167781762622865   --->   ||g||^2 =   2.042600466405487E-006
 ENERGY=      -1.167793800550045   --->   ||g||^2 =   1.734034921887214E-006
 ENERGY=      -1.167800679526267   --->   ||g||^2 =   1.434615362564058E-006
 ENERGY=      -1.167803782235981   --->   ||g||^2 =   1.461150188408631E-006
 ENERGY=      -1.167806667472297   --->   ||g||^2 =   1.402372073449315E-006
 ENERGY=      -1.167812391994568   --->   ||g||^2 =   1.327778440041810E-006
 ENERGY=      -1.167821535379746   --->   ||g||^2 =   1.595018925111054E-006
 ENERGY=      -1.167832685704605   --->   ||g||^2 =   2.030904997205757E-006
 ENERGY=      -1.167842076379547   --->   ||g||^2 =   1.803480366287939E-006
 ENERGY=      -1.167847304070517   --->   ||g||^2 =   1.552263355410215E-006
 ENERGY=      -1.167850337484881   --->   ||g||^2 =   1.351652551105448E-006
 ENERGY=      -1.167853853396692   --->   ||g||^2 =   1.440187944563362E-006
 ENERGY=      -1.167860646154201   --->   ||g||^2 =   1.656208718121393E-006
 ENERGY=      -1.167870999983178   --->   ||g||^2 =   2.098529408526843E-006
 ENERGY=      -1.167882120955283   --->   ||g||^2 =   1.966271478718681E-006
 ENERGY=      -1.167889069064247   --->   ||g||^2 =   1.553776431400106E-006
 ENERGY=      -1.167892197299652   --->   ||g||^2 =   1.213832489822659E-006
 ENERGY=      -1.167894351542284   --->   ||g||^2 =   1.128082849089586E-006
 ENERGY=      -1.167898589449733   --->   ||g||^2 =   1.057864906100952E-006
 ENERGY=      -1.167906816467406   --->   ||g||^2 =   1.203337771720483E-006
 ENERGY=      -1.167914309519033   --->   ||g||^2 =   1.281323868499422E-006
 ENERGY=      -1.167919430647029   --->   ||g||^2 =   1.139042198737212E-006
 ENERGY=      -1.167922067020494   --->   ||g||^2 =   1.007152783349312E-006
 ENERGY=      -1.167924316412686   --->   ||g||^2 =   9.635029405284948E-007
 ENERGY=      -1.167927589585794   --->   ||g||^2 =   1.065974660969555E-006
 ENERGY=      -1.167932766795931   --->   ||g||^2 =   1.330471170422040E-006
 ENERGY=      -1.167940553648449   --->   ||g||^2 =   1.945427611647199E-006
 ENERGY=      -1.167950772724881   --->   ||g||^2 =   2.518633382336193E-006
 ENERGY=      -1.167962219624069   --->   ||g||^2 =   3.429014602734028E-006
 ENERGY=      -1.167972458308045   --->   ||g||^2 =   4.147083206617172E-006
